"Sheet","WorkbookRow","CaseNumber","WorkbookSummary","WorkbookTheme","WorkbookProductArea","WorkbookStatus","WorkTypeOrSize","WorkbookAssignedTo","SalesforceCaseId","SalesforceSubject","SalesforceStatus","SalesforceIsClosed","SalesforcePriority","SalesforceClassification","SalesforceRelatedObject","SalesforceObjectOfIssue","SalesforceErrorType","SalesforceOwner","SalesforceCreatedDate","SalesforceLastModifiedDate","SalesforceClosedDate","SalesforceDescription","SalesforceResolutionNotes","SalesforceAssignedToId","HistoryCount","FeedItemCount","FeedCommentCount","FileCount","DryRunDisposition"
"Projects (Major and Minor)","27","00009624","Add Rental work order type with rental return RMA","New Record Types","Work Orders/Service Appts","Requirement Gathering","L","Mindy Bender","500Ro00000qcj2zIAA","work order","Claimed","False","Medium","Salesforce Improvement","Work Order",,,"Terry Mascia","12-02-2026 22:57:34","11-07-2026 00:27:35",,"Rental Work Order",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","92","00009634","Product Repair: make the ""Repair Result"" and "" Type of repair"" fields required","Validation Rules/Access","Products/Assets","Requirement Gathering","S","Mindy Bender","500Ro00000qiUE9IAM","Product repair required fields.","On Hold","False","Medium","Salesforce Improvement","Product Repair",,,"Kyle Kast","13-02-2026 23:14:08","15-04-2026 22:25:09",,"Could we make the ""Repair Result"" and "" Type of repair"" fields required?",,"005Ro00000DkR8zIAF","2","2","1","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","106","00009663","Hello, when these opps are syncing to intacct no business unit is pulling accross, please could we include mechanical services as the business unit. this is also falling into non-contract service GL, when it should be 42300 mechanical services - non-conr","Data","Asset, Product","Not Yet Started","S","Sacha Pearce","500Ro00000rMP67IAG","Intacct Sync","New","False","Medium","Salesforce Error","Intacct",,,"Louise Harrison","23-02-2026 18:21:16","27-03-2026 02:38:23",,"Hello, when these opps are syncing to intacct no business unit is pulling accross, please could we include mechanical services as the business unit. this is also falling into non-contract service GL, when it should be 42300 mechanical services - non-conr",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","7","00009684","Viewing permissions are limited for (Opportunities, Loaners, and Work Orders) as well as printing permissions for (Opportunities, Loaners, and Work Orders). As I click (w/Return) under shipping and attempt to print a label. I get to a ""restricted"" page.","BUG","Shipping","?","BUG","Lisa Litviak","500Ro00000raAGsIAM","Re: The shipping tab is not showing on opp","Claimed","False","Medium","Other","Opportunity",,,"Immanuel DeCastro","26-02-2026 00:47:33","27-03-2026 02:29:50",,"We cannot ship from opps because no shipping field/drop down shows under any opp for several users.",,"005Ro000007qBJVIA2","2","1","1","0","Ready for case-level requirements analysis"
"Errors & Just do its","33","00009704","Previously set WO to completed but has since been re-opened at the same time as RMA being Warranty Claim completed. This should not happen.","BUG","RMA","?","BUG","Sacha Pearce","500Ro00000rs2uLIAQ","00061816 reopened when RMA completed in stores","Claimed","False","High","Salesforce Error","Work Order",,,"Tom Meredith","02-03-2026 15:49:53","27-03-2026 02:47:16",,"Previously set WO to completed but has since been re-opened at the same time as RMA being Warranty Claim completed. This should not happen.",,"0055b00000REnyEAAT","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","52","00009706","Lockdown who can change owner on asset after IR (without internal sale)","New/Edit Workflows, New/Edit Fields","Asset","Requirement Gathering","M","Sacha Pearce","500Ro00000rva8LIAQ","Lock down who can change owner filed on asset","Closed","True","Medium","Salesforce Improvement","Asset2",,,"James Bevan-Jones","03-03-2026 03:27:42","21-08-2026 20:02:25","21-08-2026 20:02:25","Lock down who can change owner on asset object to select people to stop assets being item receipted in one entity and then ownership switched to another entity without an internal sale",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","30","00009763","Request for customer refund: Make the current emailing of a spreadsheet into a SF automated process","New/Edit Workflows, New/Edit Fields","Credit Memo","Not Yet Started","L","Sacha Pearce","500Ro00000slGn4IAE","Request for customer refund","New","False","Medium","Other","OTHER",,,"Krystie Green","13-03-2026 20:49:38","27-03-2026 02:05:11",,"Make the current emailing of a spredsheet into a SF automated process",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","34","00009765","Trying to convert lead, error message about changing billing address","BUG","Lead, Opportunity","?","BUG","Sacha Pearce","500Ro00000smiajIAA","Lead Conversion","New","False","Medium","Other","Lead",,,"Josh Sutton","13-03-2026 23:59:36","19-03-2026 15:41:27",,"Trying to convert and get an error message ""Can't change billing address for an account that's been synced to intact"".... I'm not changing the address.. Not even touching those fields",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","35","00009797","Team, Would you please update the stocked checked and Inventory Count dates on the assets for the attached spreadsheet via dataloader.","Data","Asset","?","JDI","Sacha Pearce","500Ro00000tKbRzIAK","Update Cycle Count Dates","Claimed","False","Medium","Other","Asset2",,,"Blake Nielsen","21-03-2026 03:45:01","15-04-2026 03:03:39",,"Team,   Would you please update the stocked checked and Inventory Count dates on the assets for the attached spreadsheet via dataloader.",,"0055b00000REnyEAAT","3","1","0","1","Ready for case-level requirements analysis"
"Errors & Just do its","36","00009807","System gives me an error when I try to create a return for 2 assets from PO 359986","BUG","Opportunity, Return","?","BUG","Sacha Pearce","500Ro00000tWV2gIAG","Return from PO","New","False","Medium","Salesforce Error","Purchasing Return",,,"Yasmina Rodriguez","24-03-2026 18:32:54","27-03-2026 03:10:34",,"System gives me an error when I try to create a return for 2 assets from PO 359986",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","44","00009830","Create a complaint and RMA Dashboard/Report","Dashboards/Reports/Notifications","Reports/Dashboards","Design","M","Mindy Bender","500Ro00000u7BJWIA2","MO RMA and Complaint Report/Dashboard","Claimed","False","Medium","Administrative (Reports & Dashboards)","RMA",,,"Jehovany Hernandez","31-03-2026 23:28:04","23-04-2026 02:41:05",,"Can you please create a complaint and RMA Dashboard/Report",,"005Ro00000DkR8zIAF","2","2","1","0","Ready for case-level requirements analysis"
"Errors & Just do its","37","00009845","Unable to click any tabs or templates once I've added a new doc through PandaDoc in SF.","BUG","Opportunity","?","BUG","Sacha Pearce","500Ro00000uYT4AIAW","PandaDoc Issue","Claimed","False","Medium","Other","PandaDoc",,,"Paige Dilick","07-04-2026 01:28:37","14-04-2026 18:16:56",,"Unable to click any tabs or templates once I've added a new doc through PandaDoc in SF.",,"0055b00000REnyEAAT","10","9","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","98","00009868","request for additional note field for service coordinators , engineers have internal notes, useful for service to input at times also","New/Edit Workflows, New/Edit Fields","Service Appointment","Requirement Gathering","S","Sacha Pearce","500Ro00000utIVXIA2","additional notes field for service coordinators?","Claimed","False","Medium","Other","Field Service Lightning",,,"Caroline Clinton","10-04-2026 15:31:46","10-04-2026 15:31:47",,"request for additional note field for service coordinators , engineers have internal notes, useful for service to input at times also",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","107","00009869","would it be possible on the coordinators outlook calendar to have the engineer name visible on the SA without having to hover over to read each one?","New/Edit Workflows, New/Edit Fields","Service Appointment","Not Yet Started","S","Sacha Pearce","500Ro00000utbJdIAI","coordinators mailbox view of engineers schedule","Claimed","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Caroline Clinton","10-04-2026 17:03:01","10-04-2026 17:03:01",,"coordinators mailbox view of engineers schedule",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","38","00009873","O-00543994 sync to wrong GL","Data","Opportunity","?","JDI","Sacha Pearce","500Ro00000uvbPJIAY","synced to Intacct with no BS","Claimed","False","Medium","Salesforce Error","Intacct",,,"Louise Harrison","11-04-2026 00:05:45","11-04-2026 00:05:46",,"O-00543994 synced to intacct with no business segment, should sync with mech serv",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","39","00009874","O-00543994 sync to wrong GL","Data","Opportunity","?","JDI","Sacha Pearce","500Ro00000uw7LtIAI","synced to incorrect GL","Claimed","False","Medium","Salesforce Error","Intacct",,,"Louise Harrison","11-04-2026 00:08:02","11-04-2026 00:08:02",,"synced to non-contract service, should have synced to 42300 mech serv - non contract",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","40","00009875","O-00532757 synced wrong GL and Business segment","Data","Opportunity","?","JDI","Sacha Pearce","500Ro00000uwNjxIAE","O-00532757 synced to wrong GL","Claimed","False","Medium","Salesforce Error","Intacct",,,"Louise Harrison","11-04-2026 00:11:35","11-04-2026 00:11:35",,"synced to 41200 non-contract service, but should have been 42300. Synced with no BS when should have been Mech serv",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","41","00009876","O-00539851 synced wrong GL and Business segment","Data","Opportunity","?","JDI","Sacha Pearce","500Ro00000uvvCcIAI","O-00539851 synced to wrong GL","Claimed","False","Medium","Salesforce Error","Intacct",,,"Louise Harrison","11-04-2026 00:12:39","11-04-2026 00:12:39",,"synced to 41200 non-contract service, but should have been 42300. Synced with no BS when should have been Mech serv",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","45","00009899","Rental invoices start with R- instead of the traditional I-","New Record Types","Invoices","Design","M","Mindy Bender","500Ro00000vDI9bIAG","Rental invoices start with R- instead of the traditional I-","On Hold","False","Medium","Salesforce Improvement","Invoice",,,"Krystie Green","15-04-2026 03:58:58","11-07-2026 00:13:28",,"Rental invoices to start with ""R-"" instead of ""I-"" to properly identify rental invoices for shared customers. Opportunity Record Type:
Rental Opportunity. Is it possible to have the rental invoices default to Net 10 payment terms (not the customer level as they can also order system sales).",,"005Ro00000DkR8zIAF","5","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","70","00009906","Tom is saying when we decomission systems the contract line remains active and wants us to amend the end date on the line. lPlease can you review so the decomssion date forces the line to become inactive","New/Edit Workflows, New/Edit Fields","Service Contract","Requirement Gathering","S/M","Sacha Pearce","500Ro00000vGXaIIAW","Decommission/Contract Lines still active","Claimed","False","Medium","Salesforce Improvement","Service Contract",,,"Nicky Lloyd-Jones","15-04-2026 21:15:47","15-04-2026 21:15:47",,"Tom is saying when we decomission systems the contract line remains active and wants us to amend the end date on the line. lPlease can you review so the decomssion date forces the line to become inactive",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","108","00009910","is it possible to add in a pop up field to input notes against equipment by service coordinators that would pop up when logging jobs against a contract line ?","New/Edit Workflows, New/Edit Fields","Equipment","Not Yet Started","S","Sacha Pearce","500Ro00000vI3GLIA0","pop up or important notes","Claimed","False","Medium","Salesforce Improvement","Equipment",,,"Caroline Clinton","16-04-2026 00:37:09","16-04-2026 00:37:09",,"is it possible to add in a pop up field to input notes against equipment by service coordinators that would pop up when logging jobs against a contract line ?",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Complete","7","00009914","Cardiovascular Centers, LLC- locked; need to update account","Validation Rules/Access","Account","Requirement Gathering","M","Mindy Bender","500Ro00000vS3rxIAC","Cardiovascular Centers, LLC- locked","Closed","True","Medium","Administrative (Reports & Dashboards)","Account",,,"Joy Webb","17-04-2026 21:45:10","24-08-2026 21:50:42","24-08-2026 21:50:42","Need to update account- but it is locked",,"005Ro00000DkR8zIAF","4","4","1","0","Exclude - complete in workbook and Salesforce"
"Projects (Major and Minor)","93","00009939","Cause of damage listed on repair evaluations for probes (piggy back what scopes uses)","New/Edit Fields","Repair/Eval","Requirement Gathering","S","Mindy Bender","500Ro00000vlr3NIAQ","Cause of damage listed on repair evaluations for probes - can we piggy back off of what scopes uses?","Claimed","False","Medium","Salesforce Improvement","Evaluation",,,"Matt Mooney","22-04-2026 17:16:32","11-07-2026 00:28:20",,"We are getting a request for the cause of damage to be provided on the repair evaluations from more and more customers.   What are your thoughts on adding a dropdown menu or something similar to the evaluation page.  scopes has something similar",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","46","00009944","Default Shipping Account for Customer UPS Account","New/Edit Workflows","Shipments/Zenkraft","Design","M","Mindy Bender","500Ro00000vo8PuIAI","Default Shipping Account","On Hold","False","Medium","Salesforce Improvement","Account",,,"Dawn Boyd","23-04-2026 00:21:54","25-04-2026 00:55:28",,"UPS Option for Customer default shipping account",,"005Ro00000DkR8zIAF","3","3","2","0","Ready for case-level requirements analysis"
"Errors & Just do its","42","00009998","We are encountering a system behavior where updating an RMA specifically within the Quality Issue Details, Root Cause, and Corrective Action fields results in the removal of key asset attributes","BUG","RMA","?","BUG","Sacha Pearce","500Ro00000wmEdgIAE","System behavior where updating an RMA","Claimed","False","Medium","Other","RMA",,,"Blake Nielsen","06-05-2026 04:11:23","12-05-2026 04:55:44",,"We are encountering a system behavior where updating an RMA specifically within the Quality Issue Details, Root Cause, and Corrective Action fields results in the removal of key asset attributes",,"0055b00000REnyEAAT","2","1","0","1","Ready for case-level requirements analysis"
"Projects (Major and Minor)","85","00010008","Lock Down Cost field on asset after item receipt","Validation Rules/Access","Products/Assets","Design","S","Mindy Bender","500Ro00000wqe1dIAA","Locking Down Cost Field","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Aaron Poston","07-05-2026 00:53:46","11-07-2026 00:28:20",,"The asset's ""Cost"" field should be locked upon processing of the Item Receipt.  Having the ability to edit this field is a major risk to the accuracy of the tracked cost of systems and parts.   Cost also effects processing of System & Harvest WO's.  Example: A# 520550.  System originated with  a cost of $70k.  We removed a tube for stock at $40k via a Harvest Work Order, leaving the system with a cost of $30k.  The Cost field for the system did not update to show the new cost.  We manually edited the cost to reflect the new value of $30k.  However that also caused the previously completed SWO and HWO to update the cost to a 30k starting point and then removing the 40k from the system.  We the workflows that are build in, Cost should not be an editable field.  Additionally, we added a different tube to the system at $20k cost.  This brought the system up from $30k to $50k.  The Cost field remained the same at $70k.  We need to have a field added to show the ""Current Cost"" of an asset.   In this situation, you would have the ""Cost"" field or the original cost the item was brought in at as a locked field and a ""Current Cost"" field, which would show the current cost tied to the asset.",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","27","00010013","Add Rental work order type with rental return RMA","New Record Types","Work Orders/Service Appts","Requirement Gathering","L","Mindy Bender","500Ro00000wualmIAA","W/O option","Claimed","False","Medium","Salesforce Improvement","Equipment",,,"Terry Mascia","07-05-2026 19:23:19","16-05-2026 02:51:57",,"Please add a Rental w/o option in list, with rental return RMA",,"005Ro000007qBJVIA2","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","86","00010017","Loaner SN to Pull into Closed Won Shipping Notification e-mail that SFDC automatically generates","Dashboards/Reports/Notifications","Repair/Eval","Design","S","Mindy Bender","500Ro00000x0afpIAA","Loaner SN to Pull into Closed Won Shipping Notification e-mail  that SFDC automatically generates - i can send example if helpful","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"Matt Mooney","08-05-2026 20:35:35","11-07-2026 00:28:20",,"When a completed repair ships, SFDC sends an e-mil with tracking/probe info.  We have to go back into the opp to copy the loaner SN.  This does not always happen so would like it to be included in the shipping email w/ loaner RMA to expedite loaner return",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","57","00010019","Automated shipping emails to customers based on customer contact on opportunity","Dashboards/Reports/Notifications","Opportunities","Not Yet Started","M","Mindy Bender","500Ro00000x13A1IAI","automated shipping emails to customers","Claimed","False","Medium","Salesforce Idea","Shipment/ZenKraft",,,"Aline Ekizian","08-05-2026 22:11:49","11-07-2026 00:28:20",,"automated shipping emails to customers - track customer contact on opp",,"005Ro00000DkR8zIAF","5","3","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","109","00010059","Please remove the ""New"" button from Move Locations as it doesn't trigger the current location update flow. Also rename ""New UK Move Location"" to ""New Move Location""","New/Edit Workflows, New/Edit Fields","Move Location","Not Yet Started","S","Sacha Pearce","500Ro00000xYShUIAW","Move location 'New' buttons","Claimed","False","Medium","Salesforce Improvement","Move Location",,,"Jon Kean","15-05-2026 20:49:11","15-05-2026 20:49:13",,"Please remove the ""New"" button from Move Locations as it doesn't trigger the current location update flow. Also rename ""New UK Move Location"" to ""New Move Location""",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","110","00010063","Add Trade Show Lead Source to new lead without having to click in the lead","New/Edit Workflows, New/Edit Fields","Leads","Not Yet Started","S","Sacha Pearce","500Ro00000xjjC5IAI","Add Trade Show Lead Source to 'New Lead'","Closed","True","Medium","Salesforce Improvement","Lead",,,"Katie Wright","18-05-2026 21:32:21","14-08-2026 15:46:09","14-08-2026 15:46:09","Without having to click into the lead",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","8","00010071","I can not uncheck the reserved status. there is no pencil mark to click on.","Validation Rules/Access","Asset","?","BUG","Lisa Litviak","500Ro00000xqVLtIAM","Reserved status on asset","Claimed","False","Medium","Other","Asset2",,,"Ken Anderson","19-05-2026 20:41:52","20-05-2026 23:09:34",,"I can not uncheck the reserved status. there is no pencil mark to click on.",,"005Ro000007qBJVIA2","3","3","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","43","00010078","Intermittently throughout the day, the outlook add on that allows you to save emails to opps stops working and error messages ""something happened when we tried to connect to the server"". This has always happened, but it's been so much worse recently","BUG","Emails, Opportunity","?","BUG","Sacha Pearce","500Ro00000xvnDKIAY","Outlook adding not working","Claimed","False","Medium","Other","OTHER",,,"Robyn Nugent","20-05-2026 17:43:14","20-05-2026 17:43:14",,"Intermittently throughout the day, the outlook add on that allows you to save emails to opps stops working and error messages ""something happened when we tried to connect to the server"". This has always happened, but it's been so much worse recently",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","9","00010082","Can't look at an asset and do product test","Validation Rules/Access","Asset, Product Test","?","Bug","Lisa Litviak","500Ro00000xyZk6IAE","assets","In progress","False","Medium","Other","Account",,,"Sean Bagley","20-05-2026 23:22:09","21-05-2026 00:45:36",,"i cant look at an assert and do a product test",,"005Ro000007qBJVIA2","3","3","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","74","00010086","When items are checked in on a Purchasing Opportunity can the Opportunity Owner get a notification or something?","New/Edit Workflows","Email alert, Opportunity","Not Yet Started","S/M","Sacha Pearce","500Ro00000y3DHVIA2","Notify the Opp owner when items are checked in?","Claimed","False","Medium","Salesforce Idea","OTHER",,,"Keith Fairburn","21-05-2026 18:00:01","21-05-2026 18:00:01",,"When items are checked in on a Purchasing Opportunity can the Opportunity Owner get a notification or something?",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","2","00010097","Sales tax from website is not right on Salesforce","BUG","Opportunity, Tax","Requirement Gathering","BUG","Delegate","500Ro00000yWlXXIA0","Sales tax from website is not right on Salesforce","Closed","True","Medium","Other","AvaTax",,,"Erickson Naval","27-05-2026 20:02:55","24-08-2026 22:02:00","24-08-2026 22:02:00","After calculating tax here on Salesforce. it totals up to $19.98. However, on the DME website, that I attached a screenshot of on the ""notes"" on this OP. It states that Tax is supposed to be $21.89. Is there someway to fix this?",,"0054O00000AADz3QAH","3","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","69","00010115","Mark a product as exchange needed so when things are sold it's clear core needs to come back from customer","New/Edit Workflows, New/Edit Fields","Opportunities, Products/Assets","Requirement Gathering","S/M","Mindy Bender","500Ro00000yvwG7IAI","Missing Exchange Needed Flag","On Hold","False","Medium","Salesforce Improvement","Product",,,"Kyla Frey","01-06-2026 20:03:55","03-06-2026 02:07:37",,"Being able to mark a product as an exchange needed would be extremely helpful so when things are sold they know to request a core back from customer.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","75","00010128","Can we prevent inventory assets being consumed under product repairs on ""Customer Repair"" assets. This is because the cost doesn't log against the service contract","New/Edit Workflows, New/Edit Fields","Service Contract, Assets","Not Yet Started","S/M","Sacha Pearce","500Ro00000zFV3ZIAW","Prevent Product repairs on Customer repair assets","Claimed","False","Medium","Salesforce Improvement","Product Repair",,,"Jon Kean","04-06-2026 15:34:14","04-06-2026 15:34:16",,"Can we prevent inventory assets being consumed under product repairs on ""Customer Repair"" assets. This is because the cost doesn't log against the service contract",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Complete","5","00010129","adding name manualy of supplier on documents templates","New/Edit Workflows, New/Edit Fields","Invoices","Completed","S","Sacha Pearce","500Ro00000zFyLlIAK","Invoicing","Claimed","False","Medium","Other","Account",,,"Eric Floch","04-06-2026 18:09:24","04-06-2026 18:09:25",,"adding name manualy of supplier on documents templates",,"0055b00000REnyEAAT","2","1","0","0","Review - workbook complete but Salesforce open"
"Projects (Major and Minor)","94","00010132","Probe product name can't come into existing report","New/Edit Fields","Reports/Dashboards","Requirement Gathering","S","Mindy Bender","500Ro00000zMd4ZIAS","Loaner probe product name to pull into report","Claimed","False","Medium","Administrative (Reports & Dashboards)","Loaner/Loaner Asset",,,"Matt Mooney","05-06-2026 20:08:47","25-06-2026 04:58:53",,"I cannot get the loaner model to pull into this report https://probomedical.lightning.force.com/lightning/r/Report/00ORo000004Q6dlMAC/view?queryScope=userFolders",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Complete","3","00010147","Project TruStock...Adding this case in reference to the email I had sent regarding the creation/cleanup of the lists for Tampa, FL in the New UK move location""","Data","Location","User Testing","L","Sacha Pearce","500Ro00000zfPvPIAU","Tampa FL Location Creation(s)","Closed","True","Medium","Salesforce Improvement","Asset2",,,"Blake Nielsen","09-06-2026 23:00:47","21-08-2026 20:40:08","21-08-2026 20:40:08","Team,  Adding this case in reference to the email I had sent regarding the creation/cleanup of the lists for Tampa, FL in the New UK move location""

Link https://probomedical-my.sharepoint.com/:x:/r/personal/blake_nielsen_probomedical_com/Documents/2026%20Probo/2026%20TrueStock/True%20Stock_Tampa/Tampa/Tampa%20FL%20Location%20Creation.xlsx?d=w0218716dd6944f858e3779b3c4e60bcb&csf=1&web=1&e=wwvso9",,"0055b00000REnyEAAT","5","3","0","0","Exclude - complete in workbook and Salesforce"
"Errors & Just do its","44","00010148","I've just got a new laptop and want to set up my navigation pane and set up my dashboard as my homepage, can you help with this?","Custom","Custom","?","JDI","Sacha Pearce","500Ro00000zhQ5mIAE","New Laptop","Claimed","False","Medium","Administrative (Reports & Dashboards)","OTHER",,,"Ben Rice","10-06-2026 02:50:37","10-06-2026 02:50:37",,"I've just got a new laptop and want to set up my navigation pane and set up my dashboard as my homepage, can you help with this?",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","95","00010149","Add Loaner/Restock Fee Opp Credit Memo Field to Core Ex RMA - this will allow us to run a RMA report to see if the core was returned & if we isssued a credit on the core charge opportunity.","New/Edit Fields","RMA","Requirement Gathering","S","Mindy Bender","500Ro00000zlZ2RIAU","Add Loaner/Restock Fee Opp Credit Memo Field to Core Ex RMA","Claimed","False","Medium","Salesforce Improvement","RMA",,,"Ashley Madson","10-06-2026 19:39:13","25-06-2026 05:08:40",,"Add Loaner/Restock Fee Opp Credit Memo Field to Core Ex RMA - this will allow us to run a RMA report to see if the core was returned & if we isssued a credit on the core  charge opportunity.",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","45","00010152","Seems to be a lot of ex MI stock that hasn't been PA'd","BUG","Assets","?","JDI","Sacha Pearce","500Ro00000zmc36IAA","Seems to be a lot of ex MI stock that hasn't been PA'd","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Nicky Kean","10-06-2026 22:00:34","10-06-2026 22:00:34",,"Please run a report",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","13","00010158","Tried to save RMA: A-206654 come with an error","BUG","RMA","x","BUG","Mindy Bender","500Ro00000ztClRIAU","Need help with saving a RMA in Salesforce.  Receiving an error.","Claimed","False","Medium","Salesforce Error","RMA",,"Apex Error","Lisa Litviak","11-06-2026 22:23:18","02-07-2026 04:40:17",,"Need help with saving a RMA in Salesforce.  Receiving an error.  RMA# A-206654 - P_RMATTrigger - entering this case for Diane Logue",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","14","00010166","Opp closed without proper pricing","Data","Opportunity","Design","BUG","Mindy Bender","500Ro0000109L6NIAU","Wrong amount","Claimed","False","Medium","Other","Product",,,"Gina Olson","15-06-2026 19:57:16","02-07-2026 04:20:06",,"This order was closed at $0, when it should have been closed at $2200",,"005Ro00000DkR8zIAF","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","58","00010169","Product Add Clone Option","New/Edit Workflows","Products/Assets","Not Yet Started","M","Mindy Bender","500Ro000010FNYUIA4","Product Add Clone Option","Claimed","False","Medium","Salesforce Improvement","Product",,,"Gretchen Scarborough","16-06-2026 19:04:06","11-07-2026 00:28:20",,"Product Add Clone Option / Can we get a option in product add where we can clone the product or duplicate? It would make it easier to add products that are similar with just a different number - thanks!",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","47","00010179","Product Dropdown in Lead object has 2 options for systems…need to combine to one","Data","Leads","Design","M","Mindy Bender","500Ro000010NUucIAG","Classification of past opportunities","Closed","True","Medium","Administrative (Reports & Dashboards)","Opportunity",,,"Dawn Boyd","17-06-2026 23:39:38","28-08-2026 20:44:41","28-08-2026 20:44:41","In my opportunites, please change all ""ultrasound systems.  it is effecting my close ration"" to ultrasound system sales",,"005Ro00000DkR8zIAF","6","4","1","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","46","00010194","RMA automation change: asset is already reserved whne RMA is booked","New/Edit Workflows","Asset, RMA","?","BUG","Sacha Pearce","500Ro000010o9qoIAA","RMA automation change","Claimed","False","Medium","Other","RMA",,,"Jon Kean","23-06-2026 13:17:49","23-06-2026 13:35:11",,"Logged by Katy Base:
Hi Jon, has something changed in the way items are booked in on RMAs do you know? It seems to be happening a lot now that when stores book something in, the asset is already reserved by one of them when I come to use it and I have to contact them to get this changed. I've just had 2 that were reserved by Keil, I've asked them to unreserve them and they are now both reserved by Marcus! So I'm guessing there's been some sort of change on SF that is doing this?

Examples:
A-210730 and A-210731",,"0055b00000REnyEAAT","4","2","1","0","Ready for case-level requirements analysis"
"Errors & Just do its","47","00010197","Multple reports no longer visible","Reports","Reports/Dashboards","?","BUG","Sacha Pearce","500Ro000010ujBfIAI","Multiple reports no longer visible","Claimed","False","Medium","Administrative (Reports & Dashboards)","OTHER",,,"Stephen Glasgow","24-06-2026 13:49:35","24-06-2026 13:49:37",,"Message ""the report definition is obsolete...""",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","48","00010202","Vendor return report...This report can no longer be edited or run. Your administrator has disabled all reports for the custom object, or its relationships have changed. ","Reports","Reports/Dashboards","?","BUG","Sacha Pearce","500Ro000010w4NhIAI","Vendor return report","Closed","True","Medium","Salesforce Error","OTHER",,,"Nicky Kean","24-06-2026 18:52:23","14-08-2026 15:26:31","14-08-2026 15:26:31","Is no longer available on both the sourcing and returns dash",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
